Id,Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Seed per Pound
17859,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,
17885,Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,
17903,Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,
17921,Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,
17948,,,,,,,,,,,,,,,,,,,,
17981,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,
17988,Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,
18058,Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,1297000
21302,Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,90000
21304,Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,85000
21368,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,
24236,,,,,,,,,,,,,,,,,,,,
18590,Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Slow,Low,No,Rapid,3489173
18714,Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,High,No,None,
18835,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Slow,
21508,Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,450000
21519,,,,,,,,,,,,,,,,,,,,
21520,,,,,,,,,,,,,,,,,,,,
21602,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,668000
21710,Early Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,350000
21712,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,210000
18864,Late Summer,Routinely Available,Low,Fall,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,Slow,855835
18868,Mid Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Rapid,900000
19007,Summer,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,2834953
19059,Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,,
22394,Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,114000
22465,,,,,,,,,,,,,,,,,,,,
22557,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,125000
22656,Early Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,73000
22734,,,,,,,,,,,,,,,,,,,,
