Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
Late Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,No,Rapid,36339,75666
,,,,,,,,,,,,,,,,,,,92054,
,,,,,,,,,,,,,,,,,,,23350,
Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,66037,
Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,66050,200000
Mid Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,23359,110000
,,,,,,,,,,,,,,,,,,,48282,
,,,,,,,,,,,,,,,,,,,48300,
,,,,,,,,,,,,,,,,,,,88398,
Late Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,No,No,No,No,Slow,Low,No,None,68451,
Early Spring,Routinely Available,Low,Spring,Summer,No,No,No,No,Yes,No,Yes,No,No,No,Slow,Medium,No,Slow,28744,
,,,,,,,,,,,,,,,,,,,68486,
Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,None,68521,
Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Rapid,High,No,Moderate,74925,
Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,74928,29000
,,,,,,,,,,,,,,,,,,,74940,
Mid Spring,Routinely Available,Low,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,74958,28430
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,74975,92000
Mid Spring,Routinely Available,Medium,,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,74982,37800
Indeterminate,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,83642,700000
Indeterminate,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,83653,700000
,,,,,,,,,,,,,,,,,,,27431,
,,,,,,,,,,,,,,,,,,,27615,
,,,,,,,,,,,,,,,,,,,27619,
Spring,Routinely Available,Low,Summer,Fall,No,No,Yes,No,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,27620,
Mid Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,88116,
,,,,,,,,,,,,,,,,,,,72325,
Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,26541,
Late Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,High,No,Rapid,48923,350000
Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,26611,4535925
Late Spring,Routinely Available,Medium,Fall,Winter,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70665,30
Early Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,26634,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Slow,High,No,None,26651,45359242
Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,26724,
Late Spring,Routinely Available,Low,Fall,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,None,70684,40
Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,26783,
Late Spring,Routinely Available,Low,Summer,Summer,Yes,Yes,No,No,No,No,No,No,No,No,Slow,Low,No,None,26799,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Low,No,None,15261,43600
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,65203,15000000
Late Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,79847,174000
Mid Spring,Routinely Available,Medium,Summer,Summer,Yes,Yes,No,Yes,No,Yes,No,No,No,No,None,,No,None,65252,
Late Summer,No Known Source,High,Fall,Winter,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,79866,175000
Summer,Routinely Available,,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Rapid,High,No,Rapid,16464,
Indeterminate,Routinely Available,High,Spring,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,Medium,No,Moderate,23605,498454
Late Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,No,No,No,No,Slow,Medium,No,Moderate,23608,
Mid Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,71391,4500
,,,,,,,,,,,,,,,,,,,28769,
Late Summer,No Known Source,Medium,Fall,Winter,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,37426,290000
Late Summer,Routinely Available,Low,Summer,Fall,No,No,No,Yes,Yes,No,Yes,No,No,No,Slow,Low,No,Slow,37462,100000
,,,,,,,,,,,,,,,,,,,37468,
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,Moderate,70557,82080
,,,,,,,,,,,,,,,,,,,28836,
Mid Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,71551,14000
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,42478,11292758
Late Summer,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,42803,
,,,,,,,,,,,,,,,,,,,42561,
,,,,,,,,,,,,,,,,,,,86072,
,,,,,,,,,,,,,,,,,,,80872,
Early Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Moderate,Medium,No,None,45838,3025308
,,,,,,,,,,,,,,,,,,,14155,
Summer,Routinely Available,Medium,Fall,Winter,Yes,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,45866,108000
Mid Spring,Routinely Available,Medium,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,71553,5450
,,,,,,,,,,,,,,,,,,,90051,
,,,,,,,,,,,,,,,,,,,28891,
Spring,Contracting Only,Medium,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,71577,
Summer,Routinely Available,Medium,Summer,Winter,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,71581,7530
,,,,,,,,,,,,,,,,,,,27143,
Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,No,No,No,No,No,No,No,Moderate,Medium,No,None,45887,
Spring,Routinely Available,,Spring,Summer,No,Yes,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,45201,225000
Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,High,No,Moderate,51235,4000000
,,,,,,,,,,,,,,,,,,,51509,
Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,38109,
Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,70717,84000
,,,,,,,,,,,,,,,,,,,45953,
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,45955,1272500
,,,,,,,,,,,,,,,,,,,45971,
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Slow,70735,55000
,,,,,,,,,,,,,,,,,,,45974,
Early Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,None,70892,344667
Fall,Routinely Available,High,Fall,Winter,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,,23997,1400000
Late Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,Moderate,24042,750000
,,,,,,,,,,,,,,,,,,,71666,
,,,,,,,,,,,,,,,,,,,71742,
Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,75248,3360
Late Spring,Contracting Only,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,86182,1376000
Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,86339,3780000
,,,,,,,,,,,,,,,,,,,13778,
,,,,,,,,,,,,,,,,,,,16384,
,,,,,,,,,,,,,,,,,,,49863,
Spring,Routinely Available,Medium,Spring,Spring,Yes,No,No,Yes,No,No,No,No,Yes,No,Moderate,Medium,No,None,14160,
Mid Summer,Routinely Available,High,Summer,Summer,No,No,No,Yes,No,Yes,No,No,Yes,No,Slow,Medium,No,Rapid,14166,
,Routinely Available,None,,,No,No,No,Yes,No,Yes,Yes,No,Yes,No,None,,No,Rapid,14167,
Mid Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70102,30000
Early Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,65298,3675000
,,,,,,,,,,,,,,,,,,,24236,
,,,,,,,,,,,,,,,,,,,38300,
,,,,,,,,,,,,,,,,,,,57782,
Early Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,38305,450000
,,,,,,,,,,,,,,,,,,,57792,
Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,24262,392000
,,,,,,,,,,,,,,,,,,,69379,
Summer,No Known Source,Low,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,69382,
,,,,,,,,,,,,,,,,,,,38436,
,,,,,,,,,,,,,,,,,,,75287,
Late Spring,Routinely Available,Low,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Rapid,87444,18367
Late Summer,No Known Source,High,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,24345,796636
Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,24393,259000
,,,,,,,,,,,,,,,,,,,14559,
,,,,,,,,,,,,,,,,,,,51852,
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,Yes,No,Slow,Medium,No,Moderate,51926,400000
,,,,,,,,,,,,,,,,,,,52048,
,,,,,,,,,,,,,,,,,,,52088,
,,,,,,,,,,,,,,,,,,,52182,
Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,87864,45000000
Spring,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,None,16390,
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,24659,537920
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Slow,High,No,Rapid,24710,
,,,,,,,,,,,,,,,,,,,54581,
,,,,,,,,,,,,,,,,,,,54583,
Mid Summer,Routinely Available,High,Summer,Fall,No,No,No,Yes,No,No,No,No,Yes,No,Slow,Medium,No,Slow,54611,
Late Spring,Routinely Available,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Slow,Medium,No,None,54638,
,,,,,,,,,,,,,,,,,,,88445,
Spring,,,Summer,Fall,No,No,No,No,No,Yes,No,No,No,No,Moderate,Medium,No,,88782,256000
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,90185,1045000
,,,,,,,,,,,,,,,,,,,54725,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Moderate,88768,256000
,,,,,,,,,,,,,,,,,,,54789,
Early Spring,Routinely Available,,Summer,Summer,No,No,No,Yes,No,No,No,No,Yes,No,None,,No,Rapid,54790,
,,,,,,,,,,,,,,,,,,,46245,
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,15448,48000
,,,,,,,,,,,,,,,,,,,65308,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,15545,34200
Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,15556,62080
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,15568,27040
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,None,15576,18400
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,High,No,None,15586,52160
Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,Slow,70568,192000
,,,,,,,,,,,,,,,,,,,13787,
Late Spring,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,Slow,61205,125000
,,,,,,,,,,,,,,,,,,,29031,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,None,29532,5000
Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Slow,67422,425000
Mid Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,67466,3000000
Indeterminate,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,61392,612963
Mid Summer,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Rapid,16105,
,,,,,,,,,,,,,,,,,,,72389,
Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,Rapid,Medium,No,None,61462,126111
Mid Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,Yes,No,No,Slow,Low,No,Rapid,25028,1389840
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Rapid,Medium,No,None,61516,125000
,,,,,,,,,,,,,,,,,,,54898,
Late Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,61548,125000
Mid Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Low,No,Moderate,67496,3248000
,,,,,,,,,,,,,,,,,,,61592,
,,,,,,,,,,,,,,,,,,,14320,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,90536,870
Early Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Slow,90538,1030
Mid Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Low,No,None,90621,14200
Late Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Rapid,High,No,None,90650,4800
Mid Spring,Routinely Available,High,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,90686,4971
Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Moderate,Low,No,Slow,46300,668000
Summer,Routinely Available,Medium,Summer,Fall,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,13351,
,,,,,,,,,,,,,,,,,,,46333,
,,,,,,,,,,,,,,,,,,,46345,
,,,,,,,,,,,,,,,,,,,46359,
,,,,,,,,,,,,,,,,,,,46373,
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70172,128
Early Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70193,120
Mid Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70219,235
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,70250,540
,,,,,,,,,,,,,,,,,,,70314,
Mid Spring,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70367,700
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,70379,85
Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70412,410
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70432,462
Mid Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70387,100
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70448,125
Early Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70488,380
Early Spring,Routinely Available,High,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,70523,245
Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,73194,25000
Early Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,73366,25000
,,,,,,,,,,,,,,,,,,,92934,
,,,,,,,,,,,,,,,,,,,65346,
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Rapid,92952,57000
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Moderate,92963,59775
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,65369,5000000
Mid Spring,Contracting Only,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,65380,
,,,,,,,,,,,,,,,,,,,65385,
,,,,,,,,,,,,,,,,,,,84572,
Indeterminate,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,65397,
,,,,,,,,,,,,,,,,,,,88312,
Early Summer,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,Moderate,90793,50000
,,,,,,,,,,,,,,,,,,,82146,
Spring,Routinely Available,Medium,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,90894,
Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,Slow,82163,24000
Late Spring,No Known Source,High,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,90954,
Mid Spring,No Known Source,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,91009,262000
,,,,,,,,,,,,,,,,,,,49040,
Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Rapid,High,No,Rapid,91167,170000
,,,,,,,,,,,,,,,,,,,39449,
Spring,Routinely Available,Low,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Moderate,Low,No,Moderate,91250,
Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,39478,1575760
Late Summer,Routinely Available,Medium,Fall,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,39504,252222
Mid Spring,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,91407,335000
Late Spring,No Known Source,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,91409,493000
,,,,,,,,,,,,,,,,,,,39530,
,,,,,,,,,,,,,,,,,,,25340,
Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,71455,5000
,,,,,,,,,,,,,,,,,,,72090,
,,,,,,,,,,,,,,,,,,,72290,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,High,No,None,25363,
Spring,No Known Source,Low,Summer,Summer,No,Yes,No,Yes,No,Yes,No,No,No,No,Slow,Low,No,Slow,67871,
Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,,No,None,15829,67000
,,,,,,,,,,,,,,,,,,,46470,
,,,,,,,,,,,,,,,,,,,92324,
Early Spring,Routinely Available,High,Spring,Summer,No,Yes,No,Yes,No,Yes,No,No,No,No,Slow,Low,No,Slow,68068,2500000
Spring,Routinely Available,High,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,42834,291590
,,,,,,,,,,,,,,,,,,,42863,
,,,,,,,,,,,,,,,,,,,92484,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,19732,11339811
Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,Medium,No,None,19736,36000000
,,,,,,,,,,,,,,,,,,,46588,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,19768,
Late Spring,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Moderate,19652,216435
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,25478,255000
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Rapid,19669,36000000
,,,,,,,,,,,,,,,,,,,87946,
,,,,,,,,,,,,,,,,,,,82342,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,82366,20500
,,,,,,,,,,,,,,,,,,,12726,
,,,,,,,,,,,,,,,,,,,88052,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,Yes,No,No,No,Yes,No,No,No,Slow,Low,No,None,27691,757000
,,,,,,,,,,,,,,,,,,,58049,
,,,,,,,,,,,,,,,,,,,27760,
Late Summer,,,,,No,No,No,Yes,No,No,Yes,No,No,No,,,No,,39867,
,,,,,,,,,,,,,,,,,,,58258,
,,,,,,,,,,,,,,,,,,,91720,
,,,,,,,,,,,,,,,,,,,39887,
,,,,,,,,,,,,,,,,,,,58330,
Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,91750,160000
,,,,,,,,,,,,,,,,,,,39948,
Late Spring,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,39952,700000
Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,39957,4600000
Indeterminate,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,39998,700000
,,,,,,,,,,,,,,,,,,,40024,
Summer,No Known Source,High,Summer,Fall,No,No,No,Yes,No,Yes,Yes,No,No,No,Rapid,High,No,Rapid,40070,1008000
Mid Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,25695,174720
,,,,,,,,,,,,,,,,,,,40081,
,,,,,,,,,,,,,,,,,,,40102,
,,,,,,,,,,,,,,,,,,,40105,
Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Rapid,40120,1000000
,,,,,,,,,,,,,,,,,,,40183,
Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,91786,1000000
Indeterminate,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Rapid,High,No,Rapid,26962,
Late Summer,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,Yes,Slow,Low,No,None,30717,
Summer,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,25851,1200000
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,46776,157000
,,,,,,,,,,,,,,,,,,,40476,
Summer,Contracting Only,Medium,Fall,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,40483,2000000
Summer,Routinely Available,Low,Spring,Fall,No,Yes,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,16426,65000
,,,,,,,,,,,,,,,,,,,40672,
Summer,Routinely Available,Medium,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Slow,Low,No,Slow,40703,800000
,,,,,,,,,,,,,,,,,,,40770,
Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Moderate,40782,700000
,,,,,,,,,,,,,,,,,,,40799,
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,42905,139500
,,,,,,,,,,,,,,,,,,,40835,
Late Summer,No Known Source,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Rapid,40863,700000
Fall,Routinely Available,Medium,Fall,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,Slow,40911,700000
