Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
Late Spring,Field Collections Only,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,69974,646000
Mid Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,High,No,Slow,69997,374400
Mid Spring,Routinely Available,High,Summer,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Medium,No,None,70004,1380800
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,32620,130000
,,,,,,,,,,,,,,,,,,,49180,
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,32652,43324
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,32705,195300
Mid Summer,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,Yes,Yes,No,Slow,Low,No,Rapid,20755,335360
Late Spring,No Known Source,,Summer,Summer,No,Yes,No,No,No,No,No,No,Yes,No,None,,No,Slow,12926,
Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,20903,236000
,,,,,,,,,,,,,,,,,,,20816,
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Rapid,20954,142880
Mid Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70649,73
Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18129,
,,,,,,,,,,,,,,,,,,,18150,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18180,
Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18236,
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70066,35000
Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Slow,21103,3837472
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18297,
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70586,156
Fall,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Slow,21127,
Mid Summer,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18321,
Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,18330,719988
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18354,
,,,,,,,,,,,,,,,,,,,18385,
,,,,,,,,,,,,,,,,,,,71330,
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,18452,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18467,
Mid Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70594,200
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18494,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18499,
Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Slow,70608,130
Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17314,
,,,,,,,,,,,,,,,,,,,17440,
Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,17455,94696
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17576,
Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70622,96
Mid Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,72708,554000
,,,,,,,,,,,,,,,,,,,17676,
,,,,,,,,,,,,,,,,,,,17706,
,,,,,,,,,,,,,,,,,,,17707,
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17718,
Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70117,250
Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,Moderate,49184,136000
,,,,,,,,,,,,,,,,,,,17749,
,,,,,,,,,,,,,,,,,,,17767,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17826,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17859,
Early Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,49194,20480
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17885,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17903,
Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,17921,
,,,,,,,,,,,,,,,,,,,17948,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17981,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17988,
Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,18058,1297000
Late Spring,Routinely Available,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,87033,112000
Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,78328,18000
Early Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,70928,2200
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,70944,43000
Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,None,47594,134000
,,,,,,,,,,,,,,,,,,,70952,
Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Rapid,75002,26080
Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,78361,65000
,,,,,,,,,,,,,,,,,,,50704,
,,,,,,,,,,,,,,,,,,,14459,
Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,21302,90000
Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,21304,85000
,,,,,,,,,,,,,,,,,,,33436,
,,,,,,,,,,,,,,,,,,,14477,
Mid Spring,No Known Source,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,49693,1800
,,,,,,,,,,,,,,,,,,,33399,
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,21368,
Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,64788,
,,,,,,,,,,,,,,,,,,,78506,
,,,,,,,,,,,,,,,,,,,72862,
Mid Summer,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Slow,72874,192000
Mid Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,75150,8000
