sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter
Solidago odora,1563,"sweet,anise scented goldenrod",SOOD,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,2.0,5.0,,,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,40081,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Solidago pinetorum,1564,"pineywoods,Small's,early goldenrod",SOPI,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,2.0,3.5,,,False,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,40102,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Solidago puberula,1565,downy goldenrod,SOPU,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,1.0,3.5,,,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,40105,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Solidago rugosa,1566,"rough stemmed,wrinkle leaf goldenrod",SORU2,True,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,1.0,5.0,1.0,3,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,40120,Dicot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Moderate,None,False,False,False,Yellow,True,Green,Dense,Porous,Coarse,Brown,False,Rhizomatous,Rapid,3.3,False,False,Moderate,False,None,False,Erect,None,High,,True,False,True,Low,Medium,False,Medium,Medium,High,95,None,Medium,7.5,5.0,11000,4800,60,24,12,None,Intermediate,-33,Late Summer,Routinely Available,High,Summer,Fall,False,True,False,False,False,False,True,False,True,False,Slow,Medium,False,Rapid,1000000,True,True,False,False
Solidago speciosa,1631,showy goldenrod,SOSP2,True,True,,True,True,,,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,False,True,True,True,False,False,2.0,5.0,,,,True,True,True,False,True,False,False,False,True,True,True,True,False,False,False,40183,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Spiranthes cernua,1571,nodding lady's tresses,SPCE,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,4.0,12.0,,,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,30717,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,Low,,Slow,None,False,False,False,White,True,Green,Porous,Porous,Fine,Brown,False,Single Crown,Moderate,1.5,False,False,Short,False,None,False,Erect,None,Low,,False,True,True,High,Low,False,None,Medium,Medium,90,None,High,6.5,4.5,10000,2700,55,24,8,None,Intolerant,-38,Late Summer,Routinely Available,Medium,Spring,Fall,False,False,False,False,False,False,True,False,False,True,Slow,Low,False,None,,True,True,False,False
Stachys tenuifolia,1573,"smooth hedge nettle,slender betony",STTE,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,0.5,2.5,,,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,46776,Dicot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,False,Purple,True,Green,Moderate,Porous,Coarse,Brown,False,Single Crown,Moderate,25.0,False,False,Moderate,False,None,False,Erect,None,High,,True,True,True,High,Low,False,Low,Medium,Medium,125,None,High,7.4,5.7,1700,1200,55,28,10,None,Tolerant,-33,Late Spring,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,False,True,False,Moderate,Medium,False,None,157000,True,True,False,False
Symplocarpus foetidus,,Skunk Cabbage,SYFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16426,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,True,Purple,True,Green,Moderate,Porous,Coarse,,False,Rhizomatous,Moderate,2.0,False,False,Moderate,False,None,False,Erect,None,,,True,True,True,Medium,Low,False,Low,Medium,,150,None,High,7.0,4.0,4800,1700,60,40,12,None,Tolerant,-33,Summer,Routinely Available,Low,Spring,Fall,False,True,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,65000,True,False,False,False
Symplocarpus foetidus,1583,skunk cabbage,SYFO,False,True,True,False,False,True,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,16426,Monocot,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,True,Purple,True,Green,Moderate,Porous,Coarse,,False,Rhizomatous,Moderate,2.0,False,False,Moderate,False,None,False,Erect,None,,,True,True,True,Medium,Low,False,Low,Medium,,150,None,High,7.0,4.0,4800,1700,60,40,12,None,Tolerant,-33,Summer,Routinely Available,Low,Spring,Fall,False,True,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,65000,True,False,False,False
Symphyotrichum concolor,1575,eastern silvery aster,SYCO3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,9.0,42.0,,,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,40476,Dicot,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
