sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter
Adiantum pedatum,1105,northern maidenhair fern,ADPE,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,8.0,20,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14357,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,,,,Slow,None,False,True,False,Brown,False,Dark Green,Moderate,Porous,Fine,Brown,False,Rhizomatous,Moderate,1.3,False,False,Moderate,False,None,False,Semi-Erect,None,Medium,,True,False,True,Low,Low,False,Low,High,Medium,80,None,Medium,6.6,4.6,4800,1200,60,36,10,None,Tolerant,-38,Summer,Contracting Only,High,Summer,Fall,False,False,False,True,False,False,False,False,True,False,Slow,Low,False,Moderate,,True,True,False,False
Asplenium platyneuron,1145,ebony spleenwort,ASPL,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,18.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13080,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Athyrium filix-femina,1147,common ladyfern,ATFI,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,2.0,3.5,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13404,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,True,False,,False,Green,Dense,Porous,Fine,,False,Rhizomatous,Moderate,3.0,False,False,Long,False,None,False,Semi-Erect,None,Medium,,False,False,True,Low,Low,False,Low,Medium,Low,80,None,Medium,7.0,4.5,2700,1700,60,30,12,None,Tolerant,-38,,Routinely Available,None,,,False,False,False,True,False,False,False,False,True,False,None,,False,Moderate,,True,True,True,False
Athyrium asplenioides,1148,southern ladyfern,ATFIA2,,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13412,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Botrypus virginianus,1159,rattlesnake fern,BOVI,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2.0,6.0,5.0,10,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,12926,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,,None,False,False,False,,False,Green,Porous,Porous,Fine,,False,Rhizomatous,Moderate,1.4,False,False,Moderate,False,None,False,Erect,None,Medium,,False,False,True,None,Low,False,Low,High,High,85,None,Medium,6.9,5.6,4800,1700,55,14,10,None,Tolerant,-38,Late Spring,No Known Source,,Summer,Summer,False,True,False,False,False,False,False,False,True,False,None,,False,Slow,,True,True,False,False
Cheilanthes lanosa,1212,hairy lip fern,CHLA2,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,12.0,15.0,18,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,14459,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Cheilanthes tomentosa,1213,wooly lip fern,CHTO2,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,18.0,,,False,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,14477,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Dennstaedtia punctilobula,1250,hay scented fern,DEPU2,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,,,,,,,,,,,,,1.0,3.0,2.0,3,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13296,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Dryopteris celsa ,1261,log fern,DRCE,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,3.0,4.0,1.5,2.5,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,13568,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Dryopteris cristata,1262,crested woodfern,DRCR4,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13578,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,,,Slow,None,False,False,False,Brown,False,Dark Green,Moderate,Porous,Coarse,Brown,False,Rhizomatous,Moderate,1.6,False,False,Moderate,False,None,False,Erect,None,,,False,True,True,High,High,False,Low,Low,None,120,None,High,6.5,3.5,,,55,15,12,None,Tolerant,-33,Summer,Routinely Available,High,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Moderate,,True,True,False,False
Dryopteris intermedia,1263,"evergreen wood,fancy fern",DRIN5,,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,10.0,36.0,,,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,13597,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Dryopteris marginalis,1264,"marginal shield,marginal wood fern",DRMA4,,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13605,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Dryopteris carthusiana,1265,"tooth,spinulose wood fern",DRCA11,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,,,,,,,,,,,,2.0,3.0,2.0,3,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,13562,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Lygodium palmatum,1383,"American climbing,Hartford fern",LYPA3,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,6.0,12.0,,,False,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False,14155,Fern,True,False,False,True,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Osmundastrum cinnamomeum,1411,cinnamon fern,OSCI,,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,3.0,6.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14160,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,Low,,,Slow,None,False,False,False,Orange,False,Green,Moderate,Porous,Fine,Brown,False,Bunch,Moderate,4.9,False,False,Moderate,False,None,False,Erect,None,,,False,True,True,Medium,Low,False,Medium,Medium,None,100,None,Medium,7.0,4.5,3450,2700,60,40,12,Low,Tolerant,-33,Spring,Routinely Available,Medium,Spring,Spring,True,False,False,True,False,False,False,False,True,False,Moderate,Medium,False,None,,True,False,True,False
Osmunda claytoniana,1412,interrupted fern,OSCL2,,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,6.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14166,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,,None,False,True,False,Brown,False,Dark Green,Dense,Porous,Medium,Brown,False,Rhizomatous,Moderate,4.0,False,False,Long,False,None,False,Semi-Erect,None,High,,False,True,True,Medium,Low,False,Low,High,Low,110,Low,High,6.0,4.0,2700,1200,55,32,12,None,Tolerant,-38,Mid Summer,Routinely Available,High,Summer,Summer,False,False,False,True,False,True,False,False,True,False,Slow,Medium,False,Rapid,,True,True,True,False
Osmunda spectabilis,1413,royal fern,OSRE,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,3.0,6.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14167,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,,,,,None,False,True,False,,False,Dark Green,Dense,Porous,Fine,,False,Rhizomatous,Moderate,6.0,False,False,Long,False,None,False,Semi-Erect,None,High,,True,True,True,Medium,Low,False,Low,High,Low,110,Low,High,6.0,4.0,1700,700,55,32,16,None,Tolerant,-38,,Routinely Available,None,,,False,False,False,True,False,True,True,False,True,False,None,,False,Rapid,,True,True,True,False
Pellaea atropurpurea,1428,purple cliffbrake,PEAT2,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,14559,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Polypodium virginianum,1467,"rock polypody,rockcap fern",POVI7,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,5.0,10.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14320,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Polystichum acrostichoides,1468,Christmas fern,POAC4,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13787,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Pteridium aquilinum,1480,"eagle,bracken fern",PTAQ,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,,,,,,,,,,,,,1.0,4.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13351,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,,,Slow,None,False,False,False,Green,False,Dark Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Moderate,6.6,False,False,Moderate,False,None,False,Erect,Slight,,,True,False,True,None,Medium,False,Medium,Low,High,90,None,Medium,7.0,4.5,10912,2728,60,16,10,None,Tolerant,-43,Summer,Routinely Available,Medium,Summer,Fall,False,True,True,False,False,False,True,False,True,False,Moderate,Medium,False,Moderate,,True,True,False,False
Thelypteris noveboracensis,1590,New York fern,THNO,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,2.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14837,Fern,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,,,Slow,None,False,False,False,Brown,False,Yellow-Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Moderate,1.5,False,False,Moderate,False,None,False,Erect,None,,,True,True,True,High,Low,False,Medium,Low,Medium,100,None,Low,7.0,4.0,10912,3450,60,30,6,None,Tolerant,-28,Summer,Routinely Available,High,Summer,Summer,False,False,True,True,False,False,True,False,False,False,Moderate,Medium,False,Slow,1325000,True,False,False,False
Thelypteris palustris,1591,marsh fern,THPA,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,4.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,14854,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Onoclea sensibilis,1670,"sensitive fern,bead fern",ONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,13778,Fern,True,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Agrostis hyemalis,1108,"winter bentgrass,ticklegrass",AGHY,True,True,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,3.0,,,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,20153,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Low,Low,,Moderate,None,False,False,False,Green,False,Green,Dense,Porous,Coarse,Brown,False,Bunch,Moderate,3.5,False,False,Short,True,None,False,Erect,None,Low,,False,True,True,High,None,False,Low,Medium,High,130,None,High,7.5,5.0,,,45,20,8,Medium,Intermediate,-33,Mid Spring,Routinely Available,Low,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Low,False,Moderate,8500000,True,True,True,False
Agrostis perennans,1109,"autumn,upland bentgrass",AGPE,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,30.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,20180,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Medium,False,False,False,False,Low,Low,,Moderate,None,False,False,False,Green,False,Green,Moderate,Porous,Medium,Brown,False,Rhizomatous,Moderate,3.5,False,False,Short,False,None,False,Decumbent,None,Low,,False,True,True,High,None,False,Low,Medium,High,120,None,High,7.5,5.5,,,56,32,8,None,Intermediate,-33,Mid Summer,No Known Source,Low,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Low,False,Moderate,8000000,True,True,True,False
Andropogon gerardii,1120,"big bluestem,turkeyfoot",ANGE,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,3.0,6.0,24.0,30,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,20316,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Green,Dense,Porous,Medium,Brown,False,Bunch,Moderate,7.0,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Medium,High,False,High,Medium,High,190,None,Medium,8.5,6.5,,,55,20,20,Medium,Intolerant,-9,Summer,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,144240,False,True,False,False
Andropogon glomeratus,1121,bushy bluestem,ANGL2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,20324,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,Low,False,False,False,False,Medium,Low,,Moderate,None,False,True,False,White,False,Green,Dense,Moderate,Fine,Brown,False,Bunch,Moderate,6.3,False,False,Moderate,True,None,False,Erect,None,Medium,,True,True,True,High,None,False,Low,Low,Medium,160,None,High,6.3,5.0,18000,11000,70,35,12,Low,Intolerant,-23,Late Summer,Routinely Available,High,Fall,Winter,True,False,False,False,False,False,True,False,True,False,Moderate,High,False,None,205000,False,True,False,False
Andropogon virginicus,1122,"broomsedge,broomstraw,sage grass, whiskey grass",ANVI2,True,True,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,1.5,3.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,20367,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Yellow,False,Green,Moderate,Porous,Medium,Brown,False,Bunch,Slow,3.0,False,False,Moderate,False,None,False,Erect,None,High,,False,True,True,None,High,False,High,Low,High,135,None,Medium,7.0,4.9,,,45,30,14,Low,Intolerant,-18,Late Spring,Routinely Available,Low,Summer,Summer,False,False,False,False,False,False,True,False,False,False,Slow,Low,False,None,800000,False,True,False,False
"Anthoxanthum hirtum,Hierocloe hirta",1329,"northern sweet grass,vanilla grass",HIHIA,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30.0,30.0,18.0,18,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,23350,Monocot,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Arundinaria gigantea,1136,great southern cane,ARGI,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,3.0,24.0,,,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,20561,Monocot,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,Medium,False,False,False,False,Medium,Low,,Rapid,None,False,True,False,,False,Dark Green,Dense,Dense,Medium,,False,Rhizomatous,Rapid,25.0,False,False,Long,False,None,False,Erect,None,High,,True,True,True,Medium,Low,False,Medium,Medium,High,180,High,Medium,6.9,5.0,7200,3700,100,24,18,Low,Intolerant,-23,,Routinely Available,,,,False,True,False,True,False,True,False,False,False,False,None,,False,Rapid,,True,False,False,False
Avenella flexuosa,1636,wavy hairgrass,DEFLF,True,True,True,True,True,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,True,True,False,False,False,False,1.0,2.5,,,,True,True,True,False,False,True,False,True,True,False,True,True,False,True,True,21603,Monocot,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Bouteloua dactyloides,1163,buffalo grass,BODA2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,3.0,12.0,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20755,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Gray-Green,Porous,Porous,Fine,Brown,False,Stoloniferous,Moderate,0.5,False,False,Moderate,True,None,False,Decumbent,None,Medium,,False,True,True,High,High,False,High,Medium,Medium,150,None,Medium,8.0,6.5,27000,11000,32,7,12,Medium,Intolerant,-38,Mid Summer,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,True,True,False,Slow,Low,False,Rapid,335360,False,True,False,False
Brachyelytrum erectum,1160,"bearded shorthusk,long awned wood grass",BRER2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,1.0,,,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,20816,Monocot,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
Bromus ciliatus,1161,fringed brome,BRCI2,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.0,4.0,,,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,20903,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Low,,Slow,None,False,False,False,Yellow,False,Green,Moderate,Porous,Fine,Brown,False,Bunch,Moderate,4.0,False,False,Long,False,None,False,Erect,None,Medium,,True,True,False,Low,Medium,False,Low,Low,Medium,175,None,Medium,7.5,5.5,,,40,12,16,Low,Tolerant,-3,Spring,Routinely Available,Medium,Spring,Summer,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,None,236000,True,True,False,False
Bromus inermis,1162,"smooth,awnless brome grass",BRIN2,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,25.0,42.0,,,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,20954,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Slow,None,False,False,False,Yellow,False,Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Rapid,4.5,False,False,Short,True,None,False,Semi-Erect,None,Medium,,False,True,True,Low,Medium,False,Medium,High,Medium,90,None,Medium,8.0,5.5,,,60,35,12,Medium,Intolerant,-43,Late Spring,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Rapid,142880,True,True,True,False
