SciName,keyID,Category,CommonName,Token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,GHSpreadRapidly,GHDeerResistant,GHGroundhogResistant,bloomsJan,bloomsFeb,bloomsMar,bloomsApr,bloomsMay,bloomsJun,bloomsJul,bloomsAug,bloomsSep,bloomsOct,bloomsNov,bloomsDec,PCHeightLow,PCHeightHigh,PCSpreadLow,PCSpreadHigh,PCBloomTime,PCGroundCover,Albemarle_County,Charlottesville_City,Buckingham_County,Culpeper_County,Fluvanna_County,Greene_County,Louisa_County,Madison_County,Nelson_County,Orange_County,Virginia,United_States,Disputed,Fauquier_County,Rappahannock_County
Osmunda spectabilis,1413,1.0,royal fern,OSRE,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,3.0,6.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Pellaea atropurpurea,1428,1.0,purple cliffbrake,PEAT2,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False
Polypodium virginianum,1467,1.0,"rock polypody,rockcap fern",POVI7,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,5.0,10.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Polystichum acrostichoides,1468,1.0,Christmas fern,POAC4,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Pteridium aquilinum,1480,1.0,"eagle,bracken fern",PTAQ,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,,,,,,,,,,,,,1.0,4.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Thelypteris noveboracensis,1590,1.0,New York fern,THNO,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,2.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Thelypteris palustris,1591,1.0,marsh fern,THPA,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,4.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Onoclea sensibilis,1670,1.0,"sensitive fern,bead fern",ONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Agrostis hyemalis,1108,2.0,"winter bentgrass,ticklegrass",AGHY,True,True,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,3.0,,,, ,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True
Agrostis perennans,1109,2.0,"autumn,upland bentgrass",AGPE,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,30.0,,,7, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Andropogon gerardii,1120,2.0,"big bluestem,turkeyfoot",ANGE,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,3.0,6.0,24.0,30,"08,09", ,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False
Andropogon glomeratus,1121,2.0,bushy bluestem,ANGL2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,, ,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False
Andropogon virginicus,1122,2.0,"broomsedge,broomstraw,sage grass, whiskey grass",ANVI2,True,True,False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,1.5,3.0,,,"08,09,10,11", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
"Anthoxanthum hirtum,Hierocloe hirta",1329,2.0,"northern sweet grass,vanilla grass",HIHIA,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30.0,30.0,18.0,18,3,Y,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
Arundinaria gigantea,1136,2.0,great southern cane,ARGI,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,3.0,24.0,,,"02,03,04,05", ,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
Avenella flexuosa,1636,2.0,wavy hairgrass,DEFLF,True,True,True,True,True,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,True,True,False,False,False,False,1.0,2.5,,,"07,08",,True,True,True,False,False,True,False,True,True,False,True,True,False,True,True
Bouteloua dactyloides,1163,2.0,buffalo grass,BODA2,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,3.0,12.0,,,"01,02,03",Y,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Brachyelytrum erectum,1160,2.0,"bearded shorthusk,long awned wood grass",BRER2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,1.0,,,, ,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True
Bromus ciliatus,1161,2.0,fringed brome,BRCI2,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.0,4.0,,,"07,08", ,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False
Bromus inermis,1162,2.0,"smooth,awnless brome grass",BRIN2,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,25.0,42.0,,,, ,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False
Calamagrostis canadensis,1164,2.0,"bluejoint,Canada reedgrass",CACA4,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,,,,,,2.0,5.0,,,, ,False,False,False,False,False,True,False,True,True,False,True,True,False,False,True
Calamagrostis coarctata,1165,2.0,"arctic reedgrass,Nuttall's reedgrass",CACO71,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,1.0,3.0,,,"08,09,10,11", ,True,True,True,False,True,False,True,False,False,True,True,True,False,True,False
Carex amphibola ,1532,2.0,"creek,eastern narrow leaf sedge ",CAAM8,True,True,True,,True,,True,,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,,,,False,False,True,True,True,True,False,False,False,False,False,False,6.0,18.0,,,"03,04,05,06",,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex appalachica,1637,2.0,Appalachian sedge,CAAP5,,True,True,True,,,,,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,0.5,1.0,8.0,18,,Y,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True
Carex atlantica,1169,2.0,"prickly bog,Atlantic sedge",CAAT4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex blanda,1170,2.0,eastern woodland sedge,CABL,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,1.0,12.0,24,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex cephalophora,1171,2.0,"oval leaf,apitate sedge",CACE,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,2.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex comosa,1172,2.0,"longhair,bottlebrush,bristly sedge",CACO8,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,2.0,4.5,,,, ,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False
Carex crinita,1173,2.0,"long hair,long fringed sedge",CACR6,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,2.0,4.0,18.0,36,"06,07,08", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex debilis,1174,2.0,white edge sedge,CADE5,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,10.0,40.0,10.0,40,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
Carex frankii,1176,2.0,Frank's sedge,CAFR3,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,12.0,32.0,,,, ,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
"Carex glaucodea, C. flaccosperma",1175,2.0,"thinfruit sedge,blue wood sedge",CAFL3,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex gracillima,1177,2.0,graceful sedge,CAGR2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,8.0,36.0,8.0,36,"05,06,07", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex granularis,1178,2.0,limestone meadow sedge,CAGR3,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,8.0,24.0,,,, ,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True
Carex intumescens,1179,2.0,greater bladder sedge,CAIN12,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2.0,3.0,12.0,30,"05,06", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex laxiculmis,,2.0,"Spreading Sedge, Creeping Sedge",CADIF,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Carex longii,,2.0,Caric Sedge,CALO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
Carex lupulina,1180,2.0,hop sedge,CALU4,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,18.0,39.0,,,, ,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Carex normalis,1182,2.0,greater straw sedge,CANO,True,True,True,False,True,True,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,2.0,3.0,2.0,3,"05,06,07", ,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True
Carex pensylvanica,1183,2.0,Pennsylvania sedge,CAPE6,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,1.0,3.0,,,"05,06,07",Y,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True
Carex plantaginea,1184,2.0,plantain leaved sedge,CAPL4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,12.0,36.0,,,"03,04,05", ,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
Carex platyphylla,,,broad-leaved sedge,CAPL5,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex prasina,1185,2.0,drooping sedge,CAPR12,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1.0,2.5,1.0,2.5,"05,06", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
