sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter,Location,Bloom Months,Active Growth,Light Requirements,Propagation Method,Product Type,Soil Type,Moisture Needs,Soil Adaptation
Juncus dichotomus,1353.0,forked rush,JUDI,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,12.0,40.0,,,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,26634,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Green,False,Red,Dense,Porous,Coarse,Brown,False,Bunch,Moderate,2.9,False,False,Moderate,False,None,False,Erect,None,High,,True,False,True,High,Low,False,Low,Low,High,200.0,None,Medium,6.5,4.5,4800.0,2700.0,60.0,13.0,8.0,Low,Intermediate,12.0,Early Summer,Routinely Available,Low,Summer,Fall,False,True,False,False,False,False,True,False,True,False,Slow,Medium,False,None,,True,True,True,False,Albemarle County;Charlottesville City;Virginia;United States;Rappahannock County,April;May,Spring;Summer;Fall,,Bare Root;Seed;Sprigs,,,Medium,Coarse textured soils;Medium textured soils
Juncus effusus,1354.0,"common,soft rush",JUEF,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,15.0,50.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,26651,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Medium,False,False,False,False,High,Medium,,Slow,None,False,False,True,Brown,False,Dark Green,Moderate,Porous,Coarse,Yellow,False,Bunch,Moderate,6.6,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Medium,Low,False,Medium,Medium,High,120.0,None,Medium,8.8,5.5,4800.0,2800.0,60.0,18.0,24.0,Low,Intolerant,-38.0,Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,True,False,True,False,Slow,High,False,None,45359242.0,True,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,July;August;September,Spring,Full;Partial Sun,Seed;Sprigs,Fodder,Gravel;Silt,High,Coarse textured soils;Fine textured soils;Medium textured soils
Juncus marginatus,1355.0,grassleaf rush,JUMA4,True,True,False,False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,10.0,20.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,26724,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Brown,False,Green,Moderate,Porous,Medium,Brown,False,Rhizomatous,Moderate,2.0,False,False,Long,False,None,False,Erect,None,Medium,,True,False,True,Medium,Medium,False,Low,Low,High,90.0,None,Medium,6.8,5.5,4800.0,2700.0,55.0,32.0,8.0,None,Intermediate,-23.0,Late Spring,Routinely Available,Medium,Summer,Summer,False,True,False,False,False,False,True,False,True,False,Slow,Medium,False,Slow,,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,April;May,Spring;Summer,Full;Partial Sun,Bare Root;Seed;Sprigs,,,Medium;High,Coarse textured soils;Medium textured soils
Juncus scirpoides,1356.0,needlepod rush,JUSC,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,28.0,,,False,True,True,True,True,True,False,True,False,False,True,True,True,False,True,False,26783,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Green,False,Green,Moderate,Porous,Medium,Brown,False,Rhizomatous,Moderate,3.0,False,False,Long,False,None,False,Erect,None,Medium,,True,False,True,High,Medium,False,None,Medium,High,145.0,None,High,6.8,5.6,4800.0,2700.0,55.0,36.0,10.0,Low,Tolerant,-3.0,Late Spring,Routinely Available,High,Summer,Summer,False,True,False,False,False,False,True,False,True,False,Slow,Medium,False,Slow,,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Louisa County;Orange County;Virginia;United States;Fauquier County,April;May,Spring;Summer,Full,Bare Root;Seed;Sprigs,,Some Organic Material,Medium;High,Coarse textured soils;Medium textured soils
Juncus tenuis,1357.0,"slender,path rush",JUTE,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.5,2.0,6.0,12,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,26799,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Green,False,Green,Porous,Porous,Fine,Brown,False,Bunch,Slow,1.5,False,False,Moderate,False,None,False,Erect,None,Medium,,True,True,True,Low,Medium,False,Low,Low,High,85.0,None,Medium,7.0,4.5,4800.0,2700.0,55.0,10.0,6.0,Low,Intermediate,-38.0,Late Spring,Routinely Available,Low,Summer,Summer,True,True,False,False,False,False,False,False,False,False,Slow,Low,False,None,,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,May;June,Spring;Summer,Full;Partial Sun;Shade,Bare Root,,Clay;Gravel;Loam,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Leersia oryzoides,1361.0,rice cutgrass,LEOR,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,2.0,5.0,24.0,36,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,23605,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,High,False,False,False,False,,,,Moderate,None,False,False,False,Green,False,Dark Green,Moderate,Porous,Fine,Red,False,Rhizomatous,Moderate,4.9,False,False,Moderate,False,None,False,Erect,None,,,True,True,True,Medium,Medium,False,Low,Medium,High,110.0,None,High,8.8,5.1,19360.0,11000.0,50.0,12.0,14.0,None,Intolerant,-33.0,Indeterminate,Routinely Available,High,Spring,Fall,False,True,False,False,False,False,False,False,False,False,Moderate,Medium,False,Moderate,498454.0,False,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,June;July;August;September;October,Summer,Full;Partial Sun,Bare Root,,Gravel,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Leersia virginica,1362.0,"whitegrass,Virginia cutgrass",LEVI2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,2.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,23608,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,High,False,False,False,False,High,,,Moderate,None,False,False,False,Green,False,Green,Porous,Porous,Fine,Red,False,Rhizomatous,Moderate,3.9,False,False,Short,True,None,False,Erect,None,,,True,False,True,Medium,Medium,False,None,Medium,None,120.0,None,Medium,8.5,4.5,19360.0,10912.0,65.0,15.0,4.0,None,Tolerant,-43.0,Late Summer,Routinely Available,Medium,Summer,Fall,False,True,False,False,False,False,False,False,False,False,Slow,Medium,False,Moderate,,True,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,,Spring,Partial Sun;Shade,Bare Root,,Loam,Medium,Coarse textured soils;Medium textured soils
Muhlenbergia capillaris,1401.0,"pink cloud,hair awn muhly grass,long awn hairgrass, pink muhly grass",MUCA2,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,2.0,3.0,2.0,3,False,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,23997,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Low,False,False,False,False,Low,,,Moderate,None,False,True,False,Red,False,Yellow-Green,Dense,Moderate,Fine,Purple,False,Bunch,Moderate,3.0,False,False,Short,True,None,False,Erect,None,Medium,,True,True,True,Medium,Low,False,Low,Low,High,120.0,None,High,6.8,5.8,18000.0,11000.0,90.0,30.0,9.0,High,Intolerant,7.0,Fall,Routinely Available,High,Fall,Winter,False,False,False,False,False,False,True,False,True,False,Slow,Medium,False,,1400000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Nelson County;Virginia;United States,September;October;November,Spring;Summer,Full;Partial Sun;Shade,Seed;Sprigs,Nursery Stock,Rocky;Adaptable,Low;Medium,Coarse textured soils;Fine textured soils;Medium textured soils
Muhlenbergia mexicana,1402.0,"satin,hairy wirestem,Mexican muhly grass",MUME2,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,1.5,2.5,1.5,2.5,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,True,24042,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Slow,None,False,False,False,Green,False,Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Moderate,3.0,False,False,Short,False,None,False,Semi-Erect,None,Medium,,False,False,True,Medium,Medium,False,Low,Medium,High,100.0,None,Medium,7.5,5.5,,,50.0,20.0,8.0,None,Intermediate,-33.0,Late Summer,Routinely Available,Low,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Low,False,Moderate,750000.0,True,True,True,False,Culpeper County;Greene County;Madison County;Nelson County;Virginia;United States;Fauquier County;Rappahannock County,July;August;September,Spring;Summer;Fall,Full;Partial Sun,Seed,,Loam;Adaptable,Medium,Medium textured soils
Panicum dichotomiflorum,1420.0,"Spreading,fall panicgrass",PADI,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,18.0,48.0,,,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,24262,Monocot,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,High,False,False,False,False,High,,,Slow,None,False,False,False,Green,False,Green,Porous,Porous,Fine,Yellow,False,Bunch,Rapid,3.3,False,False,,False,None,False,Semi-Erect,None,,,True,True,True,High,High,False,None,Low,None,100.0,None,High,7.0,4.8,,,65.0,20.0,6.0,Medium,Intolerant,-43.0,Summer,Routinely Available,High,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Medium,False,None,392000.0,False,True,True,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,,Summer;Fall,Full;Partial Sun,Seed,,Clay;Silt;Loam,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Coleataenia stipitata,1421.0,"long leaf,redtop panicgrass",PARI4,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2.0,4.0,2.0,4,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,24345,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,Medium,,,Slow,None,False,False,False,Green,False,Green,Dense,Dense,Medium,Brown,False,Bunch,Moderate,3.3,False,False,Long,False,None,False,Erect,None,,,False,True,True,High,Medium,False,Low,Low,High,130.0,None,High,7.5,5.0,19360.0,3450.0,64.0,32.0,6.0,Low,Intolerant,-33.0,Late Summer,No Known Source,High,Fall,Fall,False,False,False,False,False,False,True,False,False,False,Moderate,Medium,False,None,796636.0,False,True,False,False,Louisa County;Nelson County;Orange County;Virginia;United States;Fauquier County,July;August,Summer,Full,Seed,,Peat,Medium;High,Fine textured soils;Medium textured soils
Panicum virgatum,1422.0,switch grass,PAVI2,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,True,True,False,3.0,5.0,24.0,36,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,False,24393,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Slow,None,False,False,False,Yellow,False,Green,Dense,Porous,Medium,Brown,False,Rhizomatous,Rapid,6.0,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,Medium,Low,True,Medium,Medium,High,90.0,None,Medium,8.0,4.5,,,60.0,30.0,16.0,Medium,Intolerant,-43.0,Mid Summer,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,Slow,259000.0,False,True,False,False,Albemarle County;Charlottesville City;Culpeper County;Louisa County;Madison County;Nelson County;Virginia;United States;Fauquier County,January;February;July;August;September;October;November,Summer,Full;Partial Sun,Seed,Fodder,Adaptable,Low;Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Phalaris arundinacea,1435.0,"reed canarygrass,ribbon grass",PHAR3,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,24659,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Medium,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,False,Rhizomatous,Rapid,6.0,False,False,Long,True,None,False,Erect,Slight,Medium,,True,True,True,High,Medium,False,Medium,High,Medium,160.0,None,High,8.2,5.5,4800.0,2700.0,65.0,35.0,14.0,Medium,Intolerant,-38.0,Late Spring,Routinely Available,Medium,Summer,Summer,False,False,False,False,False,False,True,False,True,False,Slow,Medium,False,Rapid,537920.0,True,True,True,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,,Spring;Summer;Fall,Full;Partial Sun,Seed;Sprigs,Fodder,,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Phragmites australis,1447.0,common reed,PHAU7,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,4.0,16.0,,,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,24710,Monocot,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,Moderate,None,False,False,False,White,False,Green,Dense,Moderate,Coarse,White,True,Rhizomatous,Rapid,13.0,False,False,Long,False,Low,False,Erect,None,High,,True,True,True,High,Medium,False,Low,Medium,High,110.0,Low,Medium,8.7,4.5,4800.0,3450.0,60.0,12.0,20.0,High,Intolerant,-38.0,Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,False,False,True,False,Slow,High,False,Rapid,,True,False,False,False,Albemarle County;Charlottesville City;Culpeper County;Fluvanna County;Orange County;Virginia;United States;Fauquier County,,Spring,Full,Sprigs,,,,Coarse textured soils;Fine textured soils;Medium textured soils
Poa pratensis,1458.0,Kentucky bluegrass,POPR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,25028,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,High,Medium,,Slow,None,False,False,False,Yellow,False,Green,Porous,Porous,Medium,Brown,False,Rhizomatous,Slow,2.0,False,False,Moderate,True,None,False,Erect,None,Low,,True,True,True,None,Low,False,Medium,Medium,None,90.0,None,Medium,8.4,5.8,43560.0,43560.0,65.0,30.0,10.0,Low,Intolerant,-43.0,Mid Spring,Routinely Available,High,Spring,Summer,False,False,False,False,False,False,True,True,False,False,Slow,Low,False,Rapid,1389840.0,True,True,True,False,,,Spring;Summer;Fall,,Seed;Sod,Fodder,,,Coarse textured soils;Fine textured soils;Medium textured soils
Saccharum alopecuroides,1525.0,"silver,wooley plumegrass",SAAL21,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,3.0,10.0,3.0,6,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,25340,Monocot,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Fluvanna County;Louisa County;Nelson County;Orange County;Virginia;United States,August;September;October,,Full,,,,Low;Medium;High,
Schizachyrium scoparium,1540.0,little bluestem,SCSC,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,2.0,3.0,1.5,2`,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,25478,Monocot,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,High,False,False,False,False,Medium,Medium,,Moderate,None,False,False,False,Yellow,False,Green,Moderate,Porous,Medium,Brown,False,Bunch,Moderate,3.5,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,None,High,False,High,Low,Medium,95.0,None,Low,8.4,5.6,,,45.0,18.0,14.0,None,Intolerant,-38.0,Summer,Routinely Available,Medium,Summer,Fall,False,False,False,False,False,False,True,False,False,False,Slow,Medium,False,None,255000.0,False,True,True,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,August;September;October,Summer;Fall,Full;Partial Sun,Seed,Fodder,Clay;Gravel;Loam;Adaptable,Low;Medium,Coarse textured soils;Fine textured soils;Medium textured soils
Schoenoplectus pungens ,1541.0,common three square,SCPUP5,True,True,False,False,,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,,,,,,,,1.5,4.0,,,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,19652,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,True,Blue,False,Dark Green,Dense,Moderate,Coarse,Brown,False,Rhizomatous,Moderate,4.9,False,False,Long,False,None,False,Erect,None,Medium,,True,True,True,High,Medium,False,Low,Medium,Medium,120.0,None,High,7.5,3.7,4800.0,3450.0,60.0,12.0,14.0,Medium,Intolerant,-38.0,Late Spring,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,False,False,True,False,Moderate,Medium,False,Moderate,216435.0,False,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Fluvanna County;Nelson County;Virginia;United States,,Summer,Full;Partial Sun,Sprigs,,Clay;Gravel;Silt;Loam,High,Coarse textured soils;Fine textured soils;Medium textured soils
Schoenoplectus tabernaemontani,1542.0,"great,softstem bulrush",SCTA2,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,,,,,,,,,,,,4.0,8.0,,,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,19669,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,,Slow,None,False,False,False,Red,False,Green,Dense,Porous,Coarse,Green,False,Rhizomatous,Rapid,9.0,False,False,Long,False,None,False,Erect,None,High,,True,True,True,High,Medium,False,None,Low,High,80.0,None,High,7.5,5.4,1700.0,1100.0,55.0,18.0,16.0,Low,Intolerant,-38.0,Late Spring,Routinely Available,Low,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Low,False,Rapid,36000000.0,True,True,True,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,,Spring;Summer;Fall,Full;Partial Sun,Bare Root;Container;Seed;Sprigs,,,High,Coarse textured soils;Fine textured soils;Medium textured soils
Scirpus atrovirens,1543.0,dark green bulrush,SCAT2,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4.0,5.0,3.0,4,False,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,19732,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,False,Brown,False,Dark Green,Moderate,Porous,Coarse,Brown,False,Bunch,Moderate,5.9,False,False,Long,False,None,False,Erect,None,,,False,True,True,Medium,Medium,False,Low,Medium,Medium,180.0,None,Medium,8.0,4.0,4800.0,3450.0,60.0,16.0,12.0,None,Intolerant,-53.0,Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,True,False,True,False,Moderate,Medium,False,None,11339811.0,True,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Fluvanna County;Virginia;United States;Fauquier County,June;July,Spring,Full,Seed;Sprigs,,Clay;Gravel;Some Organic Material,Medium;High,Fine textured soils;Medium textured soils
Scirpus cyperinus,1544.0,woolgrass bulrush,SCCY,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,3.0,5.0,,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,19736,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Medium,False,False,False,False,,,,Slow,None,False,False,False,Green,False,Green,Moderate,Porous,Coarse,Yellow,True,Bunch,Moderate,4.9,False,False,Long,False,None,False,Erect,None,,,True,True,True,Medium,Medium,False,Low,Medium,Medium,110.0,None,High,7.2,4.8,4800.0,3450.0,60.0,40.0,12.0,None,Intermediate,-33.0,Late Summer,Routinely Available,Medium,Summer,Fall,True,False,False,False,False,False,True,False,True,False,Rapid,Medium,False,None,36000000.0,True,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,July;August;September;October,Spring,Full;Partial Sun,Seed;Sprigs,,,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
Scirpus pendulus,1545.0,"nodding,rufous,reddish bulrush",SCPE4,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,2.0,3.5,,,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,False,19768,Monocot,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,,,Slow,None,False,False,False,Red,False,Green,Moderate,Porous,Medium,Brown,False,Rhizomatous,Moderate,4.0,False,False,Long,False,None,False,Erect,None,High,,True,True,True,High,Low,True,None,Low,High,80.0,None,Medium,7.0,4.9,4800.0,1700.0,55.0,30.0,10.0,Low,Intolerant,-38.0,Mid Spring,Routinely Available,Low,Spring,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Low,False,Slow,,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Madison County;Nelson County;Virginia;United States,,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Seed;Sprigs,,,Medium;High,Coarse textured soils;Fine textured soils;Medium textured soils
