sciname,keyid,commonname,token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,ghspreadrapidly,ghdeerresistant,ghgroundhogresistant,bloomsjan,bloomsfeb,bloomsmar,bloomsapr,bloomsmay,bloomsjun,bloomsjul,bloomsaug,bloomssep,bloomsoct,bloomsnov,bloomsdec,pcheightlow,pcheighthigh,pcspreadlow,pcspreadhigh,pcgroundcover,albemarle_county,charlottesville_city,buckingham_county,culpeper_county,fluvanna_county,greene_county,louisa_county,madison_county,nelson_county,orange_county,virginia,united_states,disputed,fauquier_county,rappahannock_county,usda_id,group,durations_perennial,durations_annual,durations_biennial,growthhabits_forb_herb,growthhabits_graminoid,growthhabits_shrub,growthhabits_tree,growthhabits_subshrub,growthhabits_vine,berry_nut_seed_product,christmas_tree_product,fodder_product,lumber_product,naval_store_product,nursery_stock_product,palatable_graze_animal,palatable_human,post_product,pulpwood_product,veneer_product,palatable_browse_animal,protein_potential,fuelwood_product,after_harvest_regrowth_rate,bloat,coppice_potential,fall_conspicuous,fire_resistant,flower_color,flower_conspicuous,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_color,fruit_seed_conspicuous,growth_form,growth_rate,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,nitrogen_fixation,resprout_ability,shape_and_orientation,toxicity,cn_ratio,height_at_20_years_maximum_feet,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,anaerobic_tolerance,caco3_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_maximum,ph_minimum,planting_density_per_acre_maximum,planting_density_per_acre_minimum,precipitation_maximum,precipitation_minimum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruit_seed_abundance,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,seed_per_pound,active_growth_spring,active_growth_summer,active_growth_fall,active_growth_winter,Location,Bloom Months,Active Growth,Light Requirements,Propagation Method,Product Type,Soil Type,Moisture Needs,Soil Adaptation
Rhus aromatica,1506.0,"fragrant sumac,aromatic sumac,lemon sumac,polecat bush",RHAR4,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,5.0,6.0,6.0,10,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,92934,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Greene County;Nelson County;Orange County;Virginia;United States;Fauquier County,March;April;May,,Partial Sun;Shade,,,Basic;Clay;Rocky;Loam,Low,
Rhus copallinum,1507.0,"winged sumac,flameleaf sumac",RHCO,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,7.0,25.0,10.0,15,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,92952,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,False,True,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,True,Rhizomatous,Moderate,8.0,False,False,Moderate,False,None,True,Erect,None,High,8.0,True,True,True,Medium,Low,False,Medium,Low,High,140.0,Low,Low,7.5,5.3,2700.0,700.0,60.0,28.0,14.0,None,Intolerant,-28.0,Mid Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,High,False,Rapid,57000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,July;August;September,Spring;Summer,Full;Partial Sun,Bare Root;Container;Seed,,Rocky;Adaptable,Low;Medium,Coarse textured soils;Fine textured soils;Medium textured soils
Rhus glabra,1508.0,smooth sumac,RHGL,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,9.0,15.0,9.0,15,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,92963,Dicot,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,True,True,False,Yellow,False,Green,Dense,Porous,Coarse,Brown,True,Rhizomatous,Moderate,12.0,False,False,Short,False,None,True,Erect,None,High,12.0,True,False,True,Low,Low,False,Medium,Low,High,135.0,Low,Low,7.5,5.3,1200.0,300.0,60.0,30.0,24.0,Medium,Intolerant,-33.0,Mid Spring,Routinely Available,High,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Slow,High,False,Moderate,59775.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,May;June;July;August,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Seed,,Clay;Gravel;Rocky;Loam,Low;Medium,Coarse textured soils;Medium textured soils
Ribes rotundifolium,1509.0,Appalachian gooseberry,RIRO2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,5.0,3.0,5,False,True,True,False,False,False,True,False,True,True,False,True,True,False,True,False,88312,Dicot,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Albemarle County;Charlottesville City;Greene County;Madison County;Nelson County;Virginia;United States;Fauquier County,April;May,,Partial Sun;Shade,,,Rocky;Some Organic Material,Low,
Robinia hispida,1510.0,"bristly,rose locust,rose acacia",ROHIR,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,6.0,8.0,5.0,15,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,82146,Dicot,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,Buckingham County;Louisa County;Virginia;United States,April;May;June;July,,Full;Partial Sun,,,Clay;Loam;Adaptable;Some Organic Material,Low;Medium,
Rosa carolina,1512.0,"pasture,Carolina rose",ROCA4,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,3.0,5.0,6.0,10,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,90793,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Medium,False,False,False,False,Medium,,,,None,False,False,False,White,True,Green,Dense,Moderate,Medium,Red,True,Multiple Stem,Moderate,5.0,False,False,Moderate,False,None,True,Erect,None,,5.0,True,False,True,None,Low,True,High,Low,Medium,100.0,Low,Low,7.0,4.0,10912.0,2728.0,60.0,25.0,12.0,Medium,Intermediate,-43.0,Early Summer,No Known Source,Low,Summer,Fall,True,True,False,True,False,False,True,False,False,False,Moderate,High,False,Moderate,50000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,June;July;August,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Seed,Nursery Stock,Clay;Well Drained;Rocky;Loam;Adaptable,Low;Medium;High,Coarse textured soils;Medium textured soils
Rosa palustris,1513.0,swamp rose,ROPA,True,True,,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,3.0,6.0,5.0,7,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,90894,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,Low,,,,Medium,False,False,False,Red,True,Green,Moderate,Porous,Fine,Yellow,True,Rhizomatous,Moderate,8.2,False,False,Long,False,None,True,Erect,None,,8.0,False,True,True,Medium,Low,False,Low,Medium,Low,95.0,Low,Medium,7.0,4.0,3600.0,2700.0,50.0,35.0,18.0,None,Tolerant,-33.0,Spring,Routinely Available,Medium,Summer,Summer,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Slow,,False,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County,June;July;August,Summer,Full;Partial Sun,Bare Root;Container;Seed,,Acid,High,Fine textured soils;Medium textured soils
Rosa virginiana,1514.0,Virginia rose,ROVI2,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,6.0,6.0,7,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,90954,Dicot,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Low,False,False,False,False,Low,Low,,,None,False,True,False,Purple,True,Green,Dense,Moderate,Medium,Red,True,Rhizomatous,Moderate,6.0,False,False,Moderate,False,None,True,Semi-Erect,None,Medium,6.0,True,False,True,Low,Low,True,Low,Medium,High,130.0,None,Medium,7.0,5.0,4800.0,700.0,55.0,35.0,16.0,None,Intermediate,-18.0,Late Spring,No Known Source,High,Summer,Summer,True,True,False,True,False,False,True,False,False,False,Slow,Medium,False,Slow,,True,True,False,False,Virginia;United States,,Spring;Summer,Partial Sun;Shade,Bare Root;Container;Seed,,Adaptable,Low;Medium,Coarse textured soils;Medium textured soils
Rubus allegheniensis,1515.0,Alleghany blackberry,RUAL,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3.0,6.0,6.0,12,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,91009,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Low,True,False,False,False,High,Low,,,None,False,False,False,White,True,Green,Moderate,Porous,Coarse,Black,True,Thicket Forming,Rapid,6.0,False,False,Short,False,None,True,Erect,None,Low,6.0,False,True,True,Low,High,True,High,Medium,High,120.0,None,Medium,7.5,4.6,4800.0,1200.0,48.0,30.0,12.0,None,Tolerant,-28.0,Mid Spring,No Known Source,High,Summer,Summer,False,True,False,True,False,False,True,False,True,False,Slow,Medium,False,Rapid,262000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,April;May,Spring;Summer,Full;Partial Sun;Shade,Bare Root;Container;Seed;Sprigs,Berry Nut Seed,Clay;Rocky;Loam,Low;Medium,Fine textured soils;Medium textured soils
Rubus flagellaris,1516.0,common dewberry,RUFL,True,True,,True,True,,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,3.0,4.0,0.5,15,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,91167,Dicot,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,Low,True,False,False,False,Low,Low,,,None,False,False,False,White,True,Green,Dense,Porous,Coarse,Black,True,Thicket Forming,Rapid,3.0,False,False,Short,False,None,True,Prostrate,None,Medium,,True,True,True,None,Low,True,Low,Low,High,180.0,High,High,7.0,5.0,3450.0,2700.0,40.0,15.0,6.0,None,Intermediate,-23.0,Late Spring,Routinely Available,High,Summer,Fall,False,True,False,True,False,True,True,False,True,False,Rapid,High,False,Rapid,170000.0,True,True,False,False,Albemarle County;Charlottesville City;Buckingham County;Culpeper County;Fluvanna County;Greene County;Louisa County;Madison County;Nelson County;Orange County;Virginia;United States;Fauquier County;Rappahannock County,April;May;June;July,Spring;Summer,Full;Partial Sun,Bare Root;Container;Cuttings;Seed;Sprigs,Berry Nut Seed;Nursery Stock,Clay;Rocky;Loam;Adaptable,Low;Medium,Coarse textured soils;Fine textured soils;Medium textured soils
